"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Grazing","Group"
"1","q21",34,21,7.434286,15.18219,1,0,8.175537109375,"No","lb1"
"2","q21",34,22,3.220283,5.886714,1,0,4.37047576904297,"No","lb1"
"3","q21",34,23,1.878336,10.46225,1,0,6.44965362548828,"No","lb1"
"4","q21",34,24,12.462965,15.82423,1,0,17.2659454345703,"No","lb1"
"5","q21",37,23,64.00883,12.5696,4,0,0.970779418945312,"No","lb1"
"6","q21",47,43,45.09977,16.34812,1,0,7.31627655029297,"No","lb1"
"7","q21",48,43,41.303062,45.09977,2,0,0.108200073242188,"No","lb1"
"8","q21",49,43,22.385067,41.303062,3,0,1.02021789550781,"No","lb1"
"9","q21",50,43,14.056707,22.385067,4,0,-0.606582641601562,"No","lb1"
"10","q21",50,45,6.84104,4.72162,1,0,22.9215354919434,"No","lb1"
"11","q21",51,45,38.055835,6.84104,2,0,20.223762512207,"No","lb1"
"12","q21",52,45,47.438351,38.055835,3,0,16.7552642822266,"No","lb1"
"13","q21",53,45,79.81531,47.438351,4,0,13.6572017669678,"No","lb1"
"14","q21",53,48,13.07348,9.299331,1,1,0.797279357910156,"No","lb1"
"15","q21",54,45,54.188394,79.81531,5,0,11.0581750869751,"No","lb1"
"16","q21",54,48,4.847234,13.07348,2,0,3.95243835449219,"No","lb1"
"17","q21",55,45,18.1645,54.188394,6,0,8.6885871887207,"No","lb1"
"18","q21",55,48,7.945521,4.847234,3,0,4.75726318359375,"No","lb1"
"19","q21",56,45,206.04922,18.1645,7,0,9.78115940093994,"No","lb1"
"20","q21",56,48,43.24214,7.945521,4,1,0.327705383300781,"No","lb1"
"21","q21",57,45,99.199296,206.04922,8,0,8.14612007141113,"No","lb1"
"22","q21",57,48,5.804121,43.24214,5,0,-0.136192321777344,"No","lb1"
"23","q21",57,63,18.6996,16.58592,1,0,16.5041027069092,"No","lb1"
"24","q21",58,45,339.45296,99.199296,9,0,-0.0308828689157963,"No","lb1"
"25","q21",58,48,73.20167,5.804121,6,1,0.403867661952972,"No","lb1"
"26","q21",58,64,94.21203,6.692677,1,0,24.4609527587891,"No","lb1"
"27","q21",59,45,72.739164,339.45296,10,0,0.216589227318764,"No","lb1"
"28","q21",59,64,11.096288,94.21203,2,0,21.3040390014648,"No","lb1"
"29","q21",60,45,118.398511,72.739164,11,0,2.89791941642761,"No","lb1"
"30","q21",60,63,34.28978,6.883896,4,0,15.2605495452881,"No","lb1"
"31","q21",60,64,65.49814,11.096288,3,0,15.9524688720703,"No","lb1"
"32","q21",61,45,54.266239,118.398511,12,0,13.4443817138672,"No","lb1"
"33","q21",61,48,62.79583,47.87438,9,0,-1.01592254638672,"No","lb1"
"34","q21",61,63,81.7155,34.28978,5,0,13.4047384262085,"No","lb1"
"35","q21",61,64,57.37083,65.49814,4,0,9.78813934326172,"No","lb1"
"36","q21",61,66,152.23842,178.9836,1,0,-0.750328063964844,"No","lb1"
"37","q21",61,67,38.04114,16.27959,1,0,6.17943572998047,"No","lb1"
"38","q21",62,63,92.38878,81.7155,6,0,9.49699687957764,"No","lb1"
"39","q21",62,64,15.034553,57.37083,5,0,8.25959014892578,"No","lb1"
"40","q21",62,66,8.6903,152.23842,2,0,0.102035522460938,"No","lb1"
"41","q21",62,67,33.753551,38.04114,2,0,-0.101783752441406,"No","lb1"
"42","q21",63,63,161.2221024,92.38878,7,0,7.41252279281616,"No","lb1"
"43","q21",63,64,18.73526,15.034553,6,0,8.25541687011719,"No","lb1"
"44","q21",63,66,85.39264,8.6903,3,0,3.313720703125,"No","lb1"
"45","q21",63,67,79.0592,33.753551,3,0,4.59410858154297,"No","lb1"
"46","q21",64,48,4.900566,2.0040084,12,0,0.0816398486495018,"No","lb1"
"47","q21",64,63,220.05261,161.2221024,8,0,11.5096101760864,"No","lb1"
"48","q21",64,66,188.32599,85.39264,4,0,-1.24643707275391,"No","lb1"
"49","q21",64,67,35.938933,79.0592,4,0,-0.138816833496094,"No","lb1"
"50","q21",64,68,209.0249,27.32116,3,0,36.5632705688477,"No","lb1"
"51","q21",64,71,224.736586,30.49569,1,0,11.161979675293,"No","lb1"
"52","q21",65,63,60.406202,220.05261,9,0,-0.000210023776162416,"No","lb1"
"53","q21",65,66,148.4412942,188.32599,5,0,0.0543975830078125,"No","lb1"
"54","q21",65,67,23.83293,35.938933,5,0,2.36817932128906,"No","lb1"
"55","q21",65,68,146.7392,209.0249,4,0,25.0944671630859,"No","lb1"
"56","q21",65,71,100.885449,224.736586,2,0,1.94292449951172,"No","lb1"
"57","q21",66,48,32.21569,2.384475,14,1,-0.3746337890625,"No","lb1"
"58","q21",66,63,130.7896,60.406202,10,0,6.28696298599243,"No","lb1"
"59","q21",66,66,154.17779,148.4412942,6,0,-1.01431274414062,"No","lb1"
"60","q21",66,67,250.09146,23.83293,6,0,2.11724090576172,"No","lb1"
"61","q21",66,68,132.94141,146.7392,5,0,23.3241271972656,"No","lb1"
"62","q21",66,71,90.07566,100.885449,3,0,-0.209030151367188,"No","lb1"
"63","q21",67,63,230.3223,130.7896,11,0,3.01793074607849,"No","lb1"
"64","q21",67,66,295.77829,154.17779,7,0,3.82932281494141,"No","lb1"
"65","q21",67,67,106.5634,250.09146,7,0,0.0264663696289062,"No","lb1"
"66","q21",67,68,309.84435,132.94141,6,0,26.214958190918,"No","lb1"
"67","q23",58,28,58.52985,5.277493,1,1,1.31101226806641,"No","lb1"
"68","q23",59,28,29.68004,58.52985,2,0,-0.167411804199219,"No","lb1"
"69","q23",60,28,76.327881,29.68004,3,0,8.56684875488281,"No","lb1"
"70","q23",61,28,127.64295,76.327881,4,0,0.313400268554688,"No","lb1"
"71","q23",65,31,7.5987288,189.3165,1,0,0.642448425292969,"No","lb1"
"72","q23",66,31,40.46197,7.5987288,2,0,1.77149200439453,"No","lb1"
"73","q23",67,31,13.12093,40.46197,3,0,2.74772644042969,"No","lb1"
"74","q24",34,29,3.424381,6.774803,1,0,4.66504669189453,"No","lb1"
"75","q24",37,31,24.63293,12.36609,3,0,5.35366821289062,"No","lb1"
"76","q25",34,14,16.540888,67.21196,1,0,11.7779884338379,"No","bb1"
"77","q25",35,14,30.95354,16.540888,2,0,16.4266929626465,"No","bb1"
"78","q25",35,17,32.83276,8.956326,1,0,7.53493499755859,"No","bb1"
