"quad","year","trackID","genetX","genetY","distance","allEdge","totCover","totN"
"q21",34,19,3.41843349969742,3.41843349969742,NA,1,55.7919294643592,6
"q21",34,19,3.41843349969742,5.01810859876591,68.0111979049404,1,55.7919294643592,6
"q21",34,19,3.41843349969742,15.1821932456667,69.20242581788,1,55.7919294643592,6
"q21",34,19,3.41843349969742,5.88671458036628,47.9271897197608,1,55.7919294643592,6
"q21",34,19,3.41843349969742,10.4622517320896,58.9512201463748,1,55.7919294643592,6
"q21",34,19,3.41843349969742,15.8242278077733,88.8383522897029,1,55.7919294643592,6
"q21",34,20,5.01810859876591,3.41843349969742,68.0111979049404,0,55.7919294643592,6
"q21",34,20,5.01810859876591,5.01810859876591,NA,0,55.7919294643592,6
"q21",34,20,5.01810859876591,15.1821932456667,6.38487487696106,0,55.7919294643592,6
"q21",34,20,5.01810859876591,5.88671458036628,92.9952897256496,0,55.7919294643592,6
"q21",34,20,5.01810859876591,10.4622517320896,96.7724868555332,0,55.7919294643592,6
"q21",34,20,5.01810859876591,15.8242278077733,62.8581594874286,0,55.7919294643592,6
"q21",34,21,15.1821932456667,3.41843349969742,69.20242581788,0,55.7919294643592,6
"q21",34,21,15.1821932456667,5.01810859876591,6.38487487696106,0,55.7919294643592,6
"q21",34,21,15.1821932456667,15.1821932456667,NA,0,55.7919294643592,6
"q21",34,21,15.1821932456667,5.88671458036628,90.8305593338387,0,55.7919294643592,6
"q21",34,21,15.1821932456667,10.4622517320896,93.8573799419917,0,55.7919294643592,6
"q21",34,21,15.1821932456667,15.8242278077733,56.6472229532699,0,55.7919294643592,6
"q21",34,22,5.88671458036628,3.41843349969742,47.9271897197608,0,55.7919294643592,6
"q21",34,22,5.88671458036628,5.01810859876591,92.9952897256496,0,55.7919294643592,6
"q21",34,22,5.88671458036628,15.1821932456667,90.8305593338387,0,55.7919294643592,6
"q21",34,22,5.88671458036628,5.88671458036628,NA,0,55.7919294643592,6
"q21",34,22,5.88671458036628,10.4622517320896,12.4667305232355,0,55.7919294643592,6
"q21",34,22,5.88671458036628,15.8242278077733,77.4306818453995,0,55.7919294643592,6
"q21",34,23,10.4622517320896,3.41843349969742,58.9512201463748,0,55.7919294643592,6
"q21",34,23,10.4622517320896,5.01810859876591,96.7724868555332,0,55.7919294643592,6
"q21",34,23,10.4622517320896,15.1821932456667,93.8573799419917,0,55.7919294643592,6
"q21",34,23,10.4622517320896,5.88671458036628,12.4667305232355,0,55.7919294643592,6
"q21",34,23,10.4622517320896,10.4622517320896,NA,0,55.7919294643592,6
"q21",34,23,10.4622517320896,15.8242278077733,72.4095920438392,0,55.7919294643592,6
"q21",34,24,15.8242278077733,3.41843349969742,88.8383522897029,0,55.7919294643592,6
"q21",34,24,15.8242278077733,5.01810859876591,62.8581594874286,0,55.7919294643592,6
"q21",34,24,15.8242278077733,15.1821932456667,56.6472229532699,0,55.7919294643592,6
"q21",34,24,15.8242278077733,5.88671458036628,77.4306818453995,0,55.7919294643592,6
"q21",34,24,15.8242278077733,10.4622517320896,72.4095920438392,0,55.7919294643592,6
"q21",34,24,15.8242278077733,15.8242278077733,NA,0,55.7919294643592,6
"q21",35,21,7.43428576913761,7.43428576913761,NA,0,90.0217446280166,20
"q21",35,21,7.43428576913761,3.22028299885519,90.2231072008965,0,90.0217446280166,20
"q21",35,21,7.43428576913761,1.87833581654923,89.2869601435696,0,90.0217446280166,20
"q21",35,21,7.43428576913761,12.4629656993327,54.8444035333632,0,90.0217446280166,20
"q21",35,21,7.43428576913761,1.0973089079785,8.90017905564816,0,90.0217446280166,20
"q21",35,21,7.43428576913761,0.74385427046496,70.1563131754452,0,90.0217446280166,20
"q21",35,21,7.43428576913761,7.29994738670836,56.2452723376807,0,90.0217446280166,20
"q21",35,21,7.43428576913761,1.36138270799833,66.5528756752951,0,90.0217446280166,20
"q21",35,21,7.43428576913761,5.70781626548251,12.7902157294157,0,90.0217446280166,20
"q21",35,21,7.43428576913761,3.92297602802618,18.8328593651119,0,90.0217446280166,20
"q21",35,21,7.43428576913761,1.76589736382146,45.5605146831517,0,90.0217446280166,20
"q21",35,21,7.43428576913761,10.6229085388183,26.7387373281821,0,90.0217446280166,20
"q21",35,21,7.43428576913761,1.26363393304072,22.2236981972098,0,90.0217446280166,20
"q21",35,21,7.43428576913761,4.99583081201438,46.3131790355885,0,90.0217446280166,20
"q21",35,21,7.43428576913761,7.44835043093709,34.2590103479331,0,90.0217446280166,20
