"quad","year","SP_ID","x","y","GenID"
"q21",34,"19","79.63083","98.72216","19"
"q21",34,"20","11.6325","95.64145","20"
"q21",34,"21","11.15307","89.21825","21"
"q21",34,"22","94.26727","53.1958","22"
"q21",34,"23","91.39825","40.93796","23"
"q21",34,"24","19.23758","33.49638","24"
"q23",34,"27","94.05777","64.77596","27"
"q24",34,"28","86.11043","92.47663","28"
"q24",34,"29","94.1952","82.13588","29"
"q25",34,"14","17.84237","53.01412","14"
"q27",34,"35","96.85728","98.66145","35"
"q27",34,"36","16.81568","97.86259","36"
"q27",34,"37","27.74149","96.78964","37"
"q27",34,"38","75.56039","95.99168","38"
"q27",34,"39","24.46574","92.93363","39"
"q27",34,"40","78.59752","89.58065","40"
"q27",34,"41","82.68864","89.7722","41"
"q27",34,"42","1.827855","84.87709","42"
"q27",34,"43","26.90062","81.42487","43"
"q27",34,"44","1.112297","80.88747","44"
"q27",34,"45","7.148163","78.72385","45"
"q27",34,"46","11.28155","77.19589","46"
"q27",34,"47","28.25752","75.71998","47"
"q27",34,"48","24.85208","70.63277","48"
"q27",34,"49","9.533173","68.09803","49"
"q27",34,"50","19.21873","67.84333","50"
"q27",34,"51","29.94724","65.11261","51"
"q27",34,"52","38.40292","64.37804","52"
"q27",34,"53","18.23904","59.80133","53"
"q27",34,"54","10.61995","58.2785","54"
"q27",34,"55","15.42724","57.07841","55"
"q27",34,"56","13.55628","52.5413","56"
"q27",34,"57","23.35816","52.24356","57"
"q27",34,"58","17.28231","51.26094","58"
"q27",34,"59","12.05432","42.50439","59"
"q27",34,"60","43.02631","39.37025","60"
"q27",34,"61","18.70139","35.83914","61"
"q27",34,"62","2.874015","29.96284","62"
"q27",34,"63","18.96758","20.9417","63"
"q28",34,"47","61.94104","56.12162","47"
"q30",35,"70","48.06878","98.59531","70"
"q30",35,"71","55.92718","97.24234","71"
"q30",35,"72","54.41873","89.12817","72"
"q30",35,"73","33.76198","87.21873","73"
"q30",35,"74","18.00545","64.06419","74"
"q30",35,"75","60.15998","63.37477","75"
"q30",35,"76","3.303037","62.06101","76"
"q30",35,"77","46.44587","60.2014","77"
"q30",35,"78","5.846075","54.59705","78"
"q30",35,"79","11.06858","48.79456","79"
"q30",35,"80","6.866523","46.20997","80"
"q30",35,"81","12.26706","43.47532","81"
"q30",35,"82","74.93317","37.33208","82"
"q30",35,"83","36.39726","35.86523","83"
"q30",35,"84","97.63298","33.55353","84"
"q30",35,"85","61.01601","27.42274","85"
"q30",35,"86","84.30849","23.82213","86"
"q30",35,"87","96.68744","14.29324","87"
"q30",35,"88","79.90093","9.006174","88"
"q30",35,"89","74.22117","6.132379","89"
"q30",35,"90","40.38059","5.13191","90"
"q31",35,"43","63.24902","41.22866","43"
"q31",35,"44","39.86752","39.75529","44"
"q31",35,"45","68.12469","13.13596","45"
"q32",34,"27","92.98722","39.00711","27"
"q32",34,"28","18.82077","23.79419","28"
"q32",34,"29","72.29481","5.71177","29"
