"ARTR","HECO","POSE","PSSP"
"ARTR",0,0.100814048122422,0.127288677688546,0.140410406025726
"HECO",0.383401610900791,0,0.341797162746689,0.319604881053163
"POSE",0.490796953318694,0.468243993846634,0,0.482324583217455
"PSSP",0.29746074683564,0.228450844155454,0.290559190509548,0
