"","x"
"1",0.129311841985584
"2",0.184512982246923
"3",0.0957733230775351
"4",0.186502632320148
"5",0.484178728597846
"6",0.161683222314591
"7",0.197953192785081
"8",0.163742571873574
"9",0.237424353648231
"10",0.327151365221517
"11",0.247773261024903
"12",0.238110626556566
"13",0.230885571458622
"14",0.294583889739874
"15",0.136315141195507
"16",0.233272632914534
"17",0.15042358322076
"18",0.109733518325923
"19",0.309806514955455
"20",0.214845436925662
"21",0.298251296664202
"22",0.311446709623998
"23",0.359351423425244
"24",0.280045206815494
"25",0.154599414975955
"26",0.427208068516424
"27",0.375193882820193
"28",0.194085817965314
"29",0.21477503658027
"30",0.421629129190064
"31",0.076965771404592
"32",0.658532137876746
"33",0.30797196171601
"34",0.315418193798566
"35",0.163087377020493
"36",0.147342245462113
"37",0.352516839711804
"38",0.253247361655457
"39",0.200817868341327
"40",0.228553599765585
"41",0.536065883389627
"42",0.270171298977576
"43",0.277073213080025
"44",0.357333401320053
"45",0.237027078807409
"46",0.1484517323339
"47",0.279737535210977
"48",0.19117021182347
"49",0.370976718283163
"50",0.275093952707731
"51",0.179047524818171
"52",0.175560857101316
"53",0.271010258994869
"54",0.230110585611644
"55",0.233277413660882
"56",0.196688013060523
"57",0.315447494676844
"58",0.148526737591597
"59",0.360338797639019
"60",0.272760351568475
"61",0.308197215126967
"62",0.403408311872607
"63",0.243013049028075
"64",0.109707138616204
"65",0.31972202012215
"66",0.238307678045335
"67",0.364229841535678
"68",0.0489821961567126
"69",0.125302000832301
"70",0.138883647667461
"71",0.166288551983415
"72",0.172965879300392
"73",0.177589867756104
"74",0.339914067989542
"75",0.185835668643489
"76",0.491335993890133
"77",0.26402330749937
"78",0.532464986688774
"79",0.0430447151806679
"80",0.352164648905175
"81",0.135769539564033
"82",0.167648949064419
"83",0.337643174577176
"84",0.292286446047478
"85",0.0728422568492042
"86",0.158736349344535
"87",0.139817470554953
"88",0.148358972901405
"89",0.228238174704026
"90",0.309271119016869
"91",0.101437280742764
"92",0.191822471633631
"93",0.388705871587272
"94",0.177811625041709
"95",0.409602169033773
"96",0.378191294735948
"97",0.260853937219499
"98",0.263155208656782
"99",0.11620948879216
"100",0.381375605256083
"101",0.155800266392577
"102",0.151000520930182
"103",0.342209313622584
"104",0.160179804576371
"105",0.139101207622779
"106",0.28686921920525
"107",0.190844793407657
"108",0.0632130580416934
"109",0.167754288682498
"110",0.278146294934218
"111",0.0841397296643852
"112",0.168128848097063
"113",0.251198091969705
"114",0.271839733234464
"115",0.14834424999977
"116",0.238955329796227
"117",0.38876644434328
"118",0.218443231346341
"119",0.105271556540373
"120",0.0545555815183917
"121",0.200919360785638
"122",0.128569376768679
"123",0.284279648540623
"124",0.195723509767063
"125",0.448923450702956
"126",0.512172150134797
"127",0.319908018885423
"128",0.265354329011523
"129",0.173408534291328
"130",0.462173457206191
"131",0.309992539175114
"132",0.16302575417697
"133",0.146266786076424
"134",0.359263104963698
"135",0.169673230260095
"136",0.324308486881933
"137",0.177184492712467
"138",0.294678366679168
"139",0.174021689456045
"140",0.149859180258994
"141",0.162781861408714
"142",0.202150647872667
"143",0.21275811048012
"144",0.147667747325329
"145",0.0977540937515719
"146",0.369107923881036
"147",0.220672909466853
"148",0.145511207515405
"149",0.265757632252918
"150",0.277766147433316
"151",0.154561285312864
"152",0.107200068580752
"153",0.309803658363074
"154",0.280809948657383
"155",0.308653824031241
"156",0.253772405589372
"157",0.164413306083692
"158",0.405436526333667
"159",0.206451871617478
"160",0.215638795253919
"161",0.31788997570798
"162",0.285474071888519
"163",0.24646808419423
"164",0.252312488249799
"165",0.110657232938051
"166",0.20042788541385
"167",0.320809607075372
"168",0.183752252155207
"169",0.371697586327375
"170",0.308489947045403
"171",0.459625988284116
"172",0.268971651094001
"173",0.442290592049166
"174",0.331311104427264
"175",0.118277383352567
"176",0.220256646565427
"177",0.142418643222027
"178",0.183441277338115
"179",0.151660592443572
"180",0.209292184803777
"181",0.0890246580652782
"182",0.333619320739488
"183",0.250363228039497
"184",0.400576705156361
"185",0.295811668126098
"186",0.257928685398632
"187",0.35655403118954
"188",0.172364443861058
"189",0.124544617906607
"190",0.231106441894694
"191",0.127549229055588
"192",0.24516734948392
"193",0.208024351978509
"194",0.357390325406373
"195",0.329074637357433
"196",0.208776651247805
"197",0.18518941649317
"198",0.141987779499439
"199",0.229641392831019
"200",0.269733572500364
