"","Point est.","Upper C.I."
"NBbeta.mu[1]",1.00002781932037,1.00020230424477
"NBbeta.mu[2]",1.00032509747823,1.00151190590351
"NBbeta.mu[3]",1.00018364406304,1.00018703283497
"NBbeta.tau",1.0000253119066,1.00008206075153
"intG[1]",1.00325087183411,1.00403096261983
"intG[2]",1.00485372117495,1.0050735267347
"intG[3]",1.00332371463327,1.00562293097846
"intcpt.mu",0.999990619993,1.00000517246679
"intcpt.tau",1.00047401278529,1.00220179237529
"intcpt.yr[1]",1.00029035559105,1.00136509230909
"intcpt.yr[2]",1.00002755913811,1.00012745656721
"intcpt.yr[3]",1.00051349366448,1.00193331011365
"intcpt.yr[4]",1.00041351411247,1.00056726558983
"intcpt.yr[5]",1.00107131843862,1.00382312144381
"intcpt.yr[6]",1.00458718206799,1.02254882175498
"intcpt.yr[7]",1.00016196028792,1.000564563309
"intcpt.yr[8]",1.00019068087243,1.00102071708583
"intcpt.yr[9]",1.00525303698008,1.02477453349387
"intcpt.yr[10]",1.00076566756699,1.0037226092666
"intcpt.yr[11]",1.00128208965466,1.00641863699725
"intcpt.yr[12]",1.00087146508409,1.00254781138944
"intcpt.yr[13]",1.00003908173731,1.00025383059217
"intcpt.yr[14]",1.00002125161833,1.00002422789421
"intcpt.yr[15]",1.00219623016537,1.00881893661544
"intcpt.yr[16]",1.00020439877738,1.0008282378818
"intcpt.yr[17]",1.00147372581314,1.00705959963106
"intcpt.yr[18]",1.00035442162263,1.00183152887077
"intcpt.yr[19]",1.00072723722398,1.00119331589246
"intcpt.yr[20]",1.00038382133917,1.00159889764118
"intcpt.yr[21]",1.00064256153586,1.0006573596194
"intcpt.yr[22]",1.00008608370788,1.00049628439789
"intcpt.yr[23]",1.00005698614103,1.00021972212181
"intcpt.yr[24]",1.00018109056299,1.00031967448283
"intcpt.yr[25]",1.00111343622169,1.00562000338068
"intcpt.yr[26]",1.000863172886,1.00319143590382
"intcpt.yr[27]",1.00104618902576,1.00425156089597
"intcpt.yr[28]",1.00167337051725,1.00831662546588
"intcpt.yr[29]",1.00004391855738,1.00019151333894
"intcpt.yr[30]",1.00012306457263,1.00049800182806
"intcpt.yr[31]",1.00045567593583,1.00154399954707
"intcpt.yr[32]",1.00078996153049,1.00206430566356
"intcpt.yr[33]",1.0009422780542,1.00429946077183
"intcpt.yr[34]",1.00034143118602,1.00115755981456
"intcpt.yr[35]",1.00023232831108,1.00103656593015
"intcpt.yr[36]",1.00011785247081,1.00064152233876
"intcpt.yr[37]",1.00015367383817,1.00070908860336
"slope.mu",1.00012226077951,1.00065488014416
"slope.tau",1.00029504417668,1.00082425441512
"slope.yr[1]",1.00038966456683,1.00184826082038
"slope.yr[2]",1.00001746820824,1.00002736783377
"slope.yr[3]",1.00019911176925,1.00091385144782
"slope.yr[4]",1.00011256642084,1.00011280840708
"slope.yr[5]",1.00097595314114,1.00325598004784
"slope.yr[6]",1.0053250377465,1.02611455904201
"slope.yr[7]",1.00018953461218,1.00094155288777
"slope.yr[8]",1.00014887825872,1.00074489328649
"slope.yr[9]",1.00574138829294,1.02703397046748
"slope.yr[10]",1.00069878189798,1.00322503306746
"slope.yr[11]",1.00108675272933,1.00546701109991
"slope.yr[12]",1.00101518564419,1.00224355110183
"slope.yr[13]",1.00003098646727,1.00009676193778
"slope.yr[14]",1.00005983659153,1.00015017551739
"slope.yr[15]",1.00283880489701,1.01105376037567
"slope.yr[16]",1.0000988626939,1.00028742021461
"slope.yr[17]",1.00092374549528,1.00465757690022
"slope.yr[18]",1.00016792112092,1.00082071284981
"slope.yr[19]",1.00035926959326,1.00052728828172
"slope.yr[20]",1.00016140217157,1.00086529808032
"slope.yr[21]",1.00021341899778,1.00042986855555
"slope.yr[22]",1.00020192610038,1.00082988875436
"slope.yr[23]",1.00014993132596,1.00067664229829
"slope.yr[24]",1.00025984125037,1.00030818797628
"slope.yr[25]",1.00144368764932,1.00726354645157
"slope.yr[26]",1.00095906107578,1.00401564581012
"slope.yr[27]",1.00083017779243,1.00364727087281
"slope.yr[28]",1.00154485958874,1.0077605508429
"slope.yr[29]",1.00006028496967,1.00024663162988
"slope.yr[30]",1.00011069842478,1.00026668193188
"slope.yr[31]",1.00012012165389,1.00058026217159
"slope.yr[32]",1.00080892855431,1.00303028319761
"slope.yr[33]",1.00091929534098,1.00465665740651
"slope.yr[34]",1.00048117547788,1.00203835044086
"slope.yr[35]",1.00024167187737,1.00109061862244
"slope.yr[36]",1.00003118994563,1.00019851227194
"slope.yr[37]",0.999994280384875,1.0000297036895
"tau",1.00226576334622,1.01012314536292
"tauGroup",1.00037973436211,1.00086276521861
"tauSize",1.00258639602955,1.01138180891743
