"","Point est.","Upper C.I."
"NBbeta.mu[1]",1.0001606500759,1.00023543607371
"NBbeta.mu[2]",1.00321306591405,1.01484612287215
"NBbeta.mu[3]",1.01198019139934,1.05399913574503
"NBbeta.tau",1.00038477059482,1.00069386026725
"intG[1]",1.98526343878956,9.18891350582208
"intG[2]",1.96866715973906,9.0960170077441
"intG[3]",2.01424438806455,9.42615517560169
"intcpt.mu",1.95911216989163,8.82773142459157
"intcpt.tau",1.33083122830165,2.07274326933248
"intcpt.yr[1]",1.94280669422107,8.2629076977694
"intcpt.yr[2]",2.0412601715639,9.08686324311203
"intcpt.yr[3]",2.08291162339882,8.84241368574529
"intcpt.yr[4]",2.02592128147077,8.5845926628305
"intcpt.yr[5]",1.9930476968435,8.03860655092073
"intcpt.yr[6]",2.07647972702118,8.36364973132503
"intcpt.yr[7]",1.9278466783959,7.30211668464953
"intcpt.yr[8]",1.86185815653544,6.84078614557652
"intcpt.yr[9]",1.92020735785732,7.28395251892712
"intcpt.yr[10]",1.89536089408426,7.36097344783651
"intcpt.yr[11]",1.97045021672961,7.64766127990486
"intcpt.yr[12]",1.84822536671059,6.75479997160805
"intcpt.yr[13]",1.97959209589766,7.57872778423449
"intcpt.yr[14]",1.9301802049081,7.41069525256238
"intcpt.yr[15]",1.92451675107185,7.27268109592127
"intcpt.yr[16]",1.83709926146575,6.86688616011001
"intcpt.yr[17]",2.0239367971384,8.37213583794792
"intcpt.yr[18]",1.99343294179347,8.44366702248206
"intcpt.yr[19]",1.89276279205794,7.60322925266638
"intcpt.yr[20]",1.85562507646686,7.09018805314074
"intcpt.yr[21]",1.94797205068124,7.94473774598618
"intcpt.yr[22]",1.90844124223043,7.55609141734461
"intcpt.yr[23]",1.93642879743957,7.76524707499146
"intcpt.yr[24]",1.88324057903483,7.34323955925995
"intcpt.yr[25]",1.88004094266831,7.36175304318885
"intcpt.yr[26]",1.82426846843657,7.07136964964258
"intcpt.yr[27]",2.03889156150053,8.38871338935112
"intcpt.yr[28]",1.76102946334805,6.48402607118508
"intcpt.yr[29]",1.89571055926333,7.22308609014393
"intcpt.yr[30]",1.93600057395533,7.33886002999981
"intcpt.yr[31]",1.95114903703582,7.69110610918658
"intcpt.yr[32]",1.76080949876783,6.40366921950553
"intcpt.yr[33]",1.82877616408997,6.90834499878924
"intcpt.yr[34]",1.79302583352772,6.71165001278275
"intcpt.yr[35]",1.92212474135369,7.04436183321007
"intcpt.yr[36]",1.97176012213801,7.27080147304396
"intcpt.yr[37]",1.91774253357047,7.2546483701237
"intcpt.yr[38]",1.3405486526187,3.10267425966202
"slope.mu",1.33258442970095,2.12876041629535
"slope.tau",3.73271558642539,10.8140682869855
"slope.yr[1]",1.0165173474685,1.01931435085366
"slope.yr[2]",1.03395242324618,1.14437092054222
"slope.yr[3]",1.11489630048858,1.42309157299252
"slope.yr[4]",1.03827720990508,1.15331425107456
"slope.yr[5]",1.01737885877346,1.04252895199232
"slope.yr[6]",1.08076634032829,1.30297250028125
"slope.yr[7]",1.03401548982582,1.0880807248683
"slope.yr[8]",1.02343278774802,1.04954228102756
"slope.yr[9]",1.01198062782747,1.02666153019991
"slope.yr[10]",1.00863306985588,1.02885176810919
"slope.yr[11]",1.0533726549367,1.20476255827886
"slope.yr[12]",1.02584531578497,1.07088616308762
"slope.yr[13]",1.05654013387374,1.21453200224096
"slope.yr[14]",1.00824876714831,1.02342696804481
"slope.yr[15]",1.02432635511079,1.07098993663283
"slope.yr[16]",1.02813405485783,1.09300635716647
"slope.yr[17]",1.10916102316194,1.40574185442622
"slope.yr[18]",1.02761056927174,1.12348406030824
"slope.yr[19]",1.00925131153265,1.04438300268586
"slope.yr[20]",1.03048805474411,1.1332393670381
"slope.yr[21]",1.00247811958119,1.01169917853493
"slope.yr[22]",1.00305505526666,1.01310931771279
"slope.yr[23]",1.00071856722291,1.00073021476104
"slope.yr[24]",1.01139222735638,1.05392904679901
"slope.yr[25]",1.00215955973634,1.00998738146136
"slope.yr[26]",1.07145148339617,1.28339175304958
"slope.yr[27]",1.08930608941283,1.34237654380851
"slope.yr[28]",1.15066976062883,1.5317786034921
"slope.yr[29]",1.01371879633478,1.05675881915235
"slope.yr[30]",1.00546890227918,1.00737822056376
"slope.yr[31]",1.01058741309548,1.05039621466602
"slope.yr[32]",1.12992879234099,1.46920890380044
"slope.yr[33]",1.07169728832026,1.28423008093738
"slope.yr[34]",1.08918992618255,1.34306154956348
"slope.yr[35]",1.01541388634183,1.01828450172866
"slope.yr[36]",1.07052875240318,1.25723006166721
"slope.yr[37]",1.00313462768978,1.00917219266084
"slope.yr[38]",11.6382478435453,44.9824899876468
"tau",5.24920978916894,14.8822447869737
"tauGroup",1.39831940285559,2.82497867935726
"tauSize",6.00855287935682,13.4421522103158
