"Year","Intercept.yr","logarea.yr","Group","Intercept","logarea","crowd1","crowd2","crowd3","alpha"
"34",-0.446239200383584,0.0481677767365797,-0.531399699663061,-3.08239415773788,1.2156954186684,-0.00221007739700425,-0.00583856649705924,-0.0218935043802084,0.006
"35",0.523306390843869,0.0420881769940148,0.789338732017635,NA,NA,NA,NA,NA,0.012
"36",-0.985723220636313,-0.0153918828933205,-0.258688224347664,NA,NA,NA,NA,NA,0.007
"37",0.010946164629627,-0.0301966252822861,NA,NA,NA,NA,NA,NA,NA
"38",-0.645796484814192,-0.0677634883091207,NA,NA,NA,NA,NA,NA,NA
"39",-1.7141695975807,-0.14256185597667,NA,NA,NA,NA,NA,NA,NA
"40",-0.49970809602109,-0.0160339715033388,NA,NA,NA,NA,NA,NA,NA
"41",-0.275282585597359,-0.0103536348570514,NA,NA,NA,NA,NA,NA,NA
"42",0.833690783936331,0.0368684361232728,NA,NA,NA,NA,NA,NA,NA
"43",0.264771882011259,0.0340403583743829,NA,NA,NA,NA,NA,NA,NA
"44",0.151590262719546,0.0168174785910844,NA,NA,NA,NA,NA,NA,NA
"45",-0.203808162822275,-0.00977881334531245,NA,NA,NA,NA,NA,NA,NA
"46",0.60197400988738,0.0289890803797636,NA,NA,NA,NA,NA,NA,NA
"47",0.306442878177447,0.0293325590397519,NA,NA,NA,NA,NA,NA,NA
"48",-0.362541185584359,-0.0151057381346124,NA,NA,NA,NA,NA,NA,NA
"49",0.0162523748262216,0.0146976301056487,NA,NA,NA,NA,NA,NA,NA
"50",0.168896024135218,-0.0282064773853255,NA,NA,NA,NA,NA,NA,NA
"51",0.482018659967234,0.0639907171878393,NA,NA,NA,NA,NA,NA,NA
"52",-0.691408947785195,0.0334440391533535,NA,NA,NA,NA,NA,NA,NA
"53",-0.131026001688033,-0.0154516073035791,NA,NA,NA,NA,NA,NA,NA
"54",0.643257383142856,0.0595320290358277,NA,NA,NA,NA,NA,NA,NA
"55",0.404968420509577,0.0330169060559933,NA,NA,NA,NA,NA,NA,NA
"56",0.25606206287754,0.0268854335913073,NA,NA,NA,NA,NA,NA,NA
"57",0.0228251655782582,-0.00872894696569086,NA,NA,NA,NA,NA,NA,NA
"58",0.362492570843701,0.0404153610065487,NA,NA,NA,NA,NA,NA,NA
"59",-0.295513723452169,-0.00826477369432644,NA,NA,NA,NA,NA,NA,NA
"60",0.436831392286724,-0.0120141867928642,NA,NA,NA,NA,NA,NA,NA
"61",-0.916551817570912,-0.0915070035723794,NA,NA,NA,NA,NA,NA,NA
"62",0.155665732716033,0.0141683176796086,NA,NA,NA,NA,NA,NA,NA
"63",0.38002928970851,0.0240103692997584,NA,NA,NA,NA,NA,NA,NA
"64",0.325966233155687,-0.022604962900905,NA,NA,NA,NA,NA,NA,NA
"65",-0.17922227100952,-0.0196772999054672,NA,NA,NA,NA,NA,NA,NA
"66",0.889922980175583,0.0214285256802748,NA,NA,NA,NA,NA,NA,NA
"67",-0.502887345595438,-0.112320760850728,NA,NA,NA,NA,NA,NA,NA
