"","x"
"1",0.0453060994612958
"2",0.00469234116939665
"3",0.113458890506952
"4",0.0163455104327436
"5",0.00459624690619558
"6",0.0206890394912223
"7",0.00287332238512132
"8",0.00453424116363013
"9",0.0167504270698261
"10",0.0076360869160627
"11",0.00388680166307848
"12",0.0864523822796376
"13",0.0283085010834054
"14",0.0183010949742883
"15",0.0153008057554651
"16",0.0613241183936472
"17",0.0144353180820073
"18",0.0532624261663135
"19",0.00693886047282946
"20",0.00834156178471993
"21",0.00900229518006755
"22",0.0350630917356339
"23",0.0307977328189747
"24",0.00810492582154743
"25",0.071370305183163
"26",0.0606278159404422
"27",0.13161998683761
"28",0.00686518096863767
"29",0.0478442017230382
"30",0.00546966012156144
"31",0.0699755129858308
"32",0.0522849442064353
"33",0.0259554446231916
"34",0.0676085124699835
"35",0.111742188775641
"36",0.0057211584168242
"37",0.0246531521887365
"38",0.0417922690007366
"39",0.00212600774389684
"40",0.0903007203444984
"41",0.0390673243953834
"42",0.0178633065758953
"43",0.0188679097418302
"44",0.00676294701719716
"45",0.0166017261808321
"46",0.0388652983335139
"47",0.00502920871329191
"48",0.00665457837627636
"49",0.0137106330042457
"50",0.0450719216575984
"51",0.0320374157755824
"52",0.00921059176898205
"53",0.00688930864465597
"54",0.0181301538333788
"55",0.0415283864032775
"56",0.0153751829831698
"57",0.0095340167543433
"58",0.0122167894728097
"59",0.00532706696178527
"60",0.00748611634457881
"61",0.00635439687341799
"62",0.00633475360823391
"63",0.00590370681080091
"64",0.00302266573882261
"65",0.011830152249412
"66",0.0126845504956829
"67",0.0141181979235966
"68",0.0452071739069225
"69",0.018212123863463
"70",0.00163419749208461
"71",0.00473277305102107
"72",0.00562525650512892
"73",0.0388654614578058
"74",0.151317508797142
"75",0.00238778616580652
"76",0.0720935882081474
"77",0.00389200143035366
"78",0.00675607782907219
"79",0.0176581794510131
"80",0.0136458877911091
"81",0.0604451319704396
"82",0.0276963318064254
"83",0.0164274870217739
"84",0.00360327882844571
"85",0.0174865114186733
"86",0.0284571168359023
"87",0.0177448924394327
"88",0.00770533582939992
"89",0.00301244527298296
"90",0.0341834869594724
"91",0.04708860814046
"92",0.0227352035190875
"93",0.0138978704253273
"94",0.0025984300674141
"95",0.00698111592717399
"96",0.0150249517186544
"97",0.0250966458332597
"98",0.00501012662926213
"99",0.045015652668275
"100",0.0418583610750076
"101",0.0403005688363573
"102",0.00665982270991608
"103",0.0063682025925685
"104",0.020495709919924
"105",0.0121966376263959
"106",0.0324955040995075
"107",0.00379171216045871
"108",0.000167092376928017
"109",0.0016521294118987
"110",0.0169003373904401
"111",0.0531599639064106
"112",0.0693805910595213
"113",0.00547639067719619
"114",0.0053622396140684
"115",0.0697422367410604
"116",0.00402037895762948
"117",0.00806619609515051
"118",0.0840779900313169
"119",0.0455110096369819
"120",0.00269682075678021
"121",0.004669127926304
"122",0.00342995020578791
"123",0.0451824969931911
"124",0.0243359129088049
"125",0.00548931815949129
"126",0.0106817455883411
"127",0.0743883617888604
"128",0.111125477291483
"129",0.042607543647753
"130",0.00812490035499018
"131",0.0451639286542704
"132",0.00416188695420913
"133",0.0030892206580756
"134",0.0192515060470665
"135",0.027219873102884
"136",0.0300134205187867
"137",0.055396805254835
"138",0.00743919858217177
"139",0.0174476200227966
"140",0.0268182748403281
"141",0.0100320919145764
"142",0.00214112401837817
"143",0.00756634935545057
"144",0.0095380755952412
"145",0.011209464940696
"146",0.00664133692006668
"147",0.00594911197981086
"148",0.00365416173992629
"149",0.00432411220354334
"150",0.0922673269740985
"151",0.0226939936412541
"152",0.0217684203852216
"153",0.00575224976915449
"154",0.0403758582222546
"155",0.0132221703097032
"156",0.0484059805554814
"157",0.00693202452277919
"158",0.0319041111493908
"159",0.0573090353183136
"160",0.0775136580514436
"161",0.020304382054812
"162",0.0544126502243282
"163",0.00628722685754676
"164",0.0450733917237092
"165",0.0383305314659463
"166",0.075674352750128
"167",0.0309504289400035
"168",0.00904327954267336
"169",0.0121771655680835
"170",0.04356060600477
"171",0.0154077741749501
"172",0.007104480545645
"173",0.00742816008894118
"174",0.0267533531532777
"175",0.061122172544598
"176",0.00500222950445661
"177",0.050722452394043
"178",0.0443669086189494
"179",0.00952876830759618
"180",0.00309939894451943
"181",0.0137842396950863
"182",0.0172270143487235
"183",0.00455839209895746
"184",0.0245291971889826
"185",0.00756472348777657
"186",0.00633962439271719
"187",0.0337729019027263
"188",0.0447495274597459
"189",0.0271931684537292
"190",0.00530257090638873
"191",0.125178768871404
"192",0.0164482753300925
"193",0.0118674935282679
"194",0.0570762982749248
"195",0.0125893288567417
"196",0.0463056211299506
"197",0.0206308301043254
"198",0.0222591783757578
"199",0.0174114344216151
"200",0.00961217103065808
