"","x"
"1",0.483960044922106
"2",0.156778115594287
"3",0.304958411859975
"4",0.200751615037286
"5",0.297763285907954
"6",0.144605787129365
"7",0.250116301089614
"8",0.243643712592522
"9",0.179238029596286
"10",0.12740730886728
"11",0.406349181060125
"12",0.25235319448454
"13",0.325962381969905
"14",0.413168599818902
"15",0.190468033291763
"16",0.351724476516391
"17",0.289978879199312
"18",0.384634488055705
"19",0.219152886745135
"20",0.171289313054244
"21",0.492710923943679
"22",0.250404097066845
"23",0.248552714359575
"24",0.165801118377478
"25",0.129607716822156
"26",0.172765515000416
"27",0.232500886784168
"28",0.343315451834017
"29",0.123249120267546
"30",0.427935134687156
"31",0.185304647983279
"32",0.430746016012066
"33",0.111145840674155
"34",0.118909803573939
"35",0.136544746155781
"36",0.189039693750996
"37",0.200513306714473
"38",0.302358051243607
"39",0.0633540071353177
"40",0.225240815600396
"41",0.264598505644008
"42",0.174865221343788
"43",0.0751884521776394
"44",0.239757444360209
"45",0.333282441183644
"46",0.458141168596398
"47",0.0639357485197509
"48",0.383486518718779
"49",0.403576516875699
"50",0.154383541647169
"51",0.262312549126366
"52",0.338283670540962
"53",0.326758053361184
"54",0.131300393263585
"55",0.0962744840553888
"56",0.137997463841829
"57",0.188673815389216
"58",0.226341314967471
"59",0.203012838409175
"60",0.355575860037572
"61",0.0943320483447006
"62",0.385784268356808
"63",0.486372514059215
"64",0.318463366378058
"65",0.131074807769618
"66",0.276162949331303
"67",0.32397368641524
"68",0.156725714198194
"69",0.142652957171156
"70",0.23389014600806
"71",0.11483450058532
"72",0.263890184806385
"73",0.18465516215891
"74",0.0423930547275192
"75",0.30415848888498
"76",0.281806351148944
"77",0.277971182791689
"78",0.488546784958816
"79",0.117804848435025
"80",0.320737297153176
"81",0.0822936649667312
"82",0.39384084026663
"83",0.184871482569758
"84",0.122247487925507
"85",0.0877007288769665
"86",0.177511817987909
"87",0.15839378489578
"88",0.322078320563722
"89",0.29587017037685
"90",0.211098815065335
"91",0.3469365710296
"92",0.0812171844411179
"93",0.342303254413313
"94",0.228025481015879
"95",0.351570701181444
"96",0.229650449651757
"97",0.322857142822296
"98",0.355562246728199
"99",0.127081879740933
"100",0.370061534155397
