"","Mean","SD","Naive SE","Time-series SE"
"NBbeta.mu[1]",-0.000233307086984658,0.000184537907916593,5.83560103658852e-07,9.40713117549169e-07
"NBbeta.mu[2]",-0.00972079596789366,0.00335805888076866,1.06191145801848e-05,1.88575772309559e-05
"NBbeta.mu[3]",-0.0271521839323207,0.0171034153397662,5.40857482415239e-05,7.42175780976497e-05
"NBbeta.mu[4]",-0.0041172844464668,0.0021933131068807,6.93586503964335e-06,9.79792875469707e-06
"NBbeta.tau",4.74468628193844,3.21819651860439,0.0101768309568143,0.0179969654872712
"intG[1]",0.0398835016886495,0.0491608552387481,0.000155460274276265,0.000865988270716247
"intG[2]",0.029841143844862,0.0436488226276713,0.000138029696688137,0.000792787348882922
"intG[3]",-0.0180153098238933,0.0396210370124727,0.000125292720217247,0.000723461029148736
"intG[4]",-0.00156114651360914,0.037402740507239,0.000118277850735117,0.000756248724088995
"intG[5]",-0.045320024057699,0.0659526703837029,0.000208560656182832,0.000438640209626917
"intG[6]",0.000336553191974155,0.0389279976600563,0.000123101137355483,0.000771384857176345
"intcpt.mu",0.245017083864642,0.115863023551301,0.000366391051015841,0.000934205394282928
"intcpt.tau",4.70890419005213,1.57428128878562,0.00497831455034785,0.00881703980821614
"intcpt.yr[1]",-0.00885841430194583,0.447977107427935,0.00141662799908621,0.00405703721951224
"intcpt.yr[2]",0.19642716095337,0.352024729749938,0.00111319993871504,0.003594259580567
"intcpt.yr[3]",0.740641664207777,0.175091508833467,0.000553687966869248,0.00191048294199827
"intcpt.yr[4]",-0.30106238202018,0.24099370841513,0.000762089020362297,0.0034795121695013
"intcpt.yr[5]",0.722790933897389,0.191551805954879,0.000605739996736022,0.00228875718993251
"intcpt.yr[6]",-0.312991913971995,0.123858210316826,0.000391674051513335,0.0010920794712115
"intcpt.yr[7]",0.341862898718106,0.0884966278461477,0.000279850909238108,0.000721779606416458
"intcpt.yr[8]",-0.161922010802879,0.104015548043819,0.00032892604388914,0.000967728622752615
"intcpt.yr[9]",0.202280710821741,0.0704969059138762,0.000222930790682443,0.000748845597746367
"intcpt.yr[10]",0.17493819256649,0.0709631950754358,0.000224405326481221,0.000800945042471978
"intcpt.yr[11]",0.357302100101038,0.0630473920381138,0.000199373359374005,0.000779950811135589
"intcpt.yr[12]",0.0120994772777295,0.068577448634359,0.000216860933807778,0.000799887102036242
"intcpt.yr[13]",0.159921680003094,0.0660182280716007,0.000208767967794724,0.000758576451130124
"intcpt.yr[14]",0.0284421276980953,0.065003755197743,0.000205559922888877,0.000781014121667156
"intcpt.yr[15]",1.21069905506798,0.0794737920832287,0.000251318197273661,0.000841818232938186
"intcpt.yr[16]",0.605136651700119,0.0857821712344781,0.000271267043735529,0.000899019158718749
"intcpt.yr[17]",0.501485195873769,0.100404683765865,0.000317507488449066,0.00111642989692846
"intcpt.yr[18]",0.597046147379842,0.104284538986863,0.000329776667939117,0.00107372705270833
"intcpt.yr[19]",0.432038775236303,0.115947474831253,0.000366658109411807,0.00136412567476363
"intcpt.yr[20]",0.0446872076744728,0.139149810324876,0.000440030336607023,0.00166652287892712
"intcpt.yr[21]",-0.416416379497239,0.145833395597718,0.000461165689005163,0.00171508242087831
"intcpt.yr[22]",0.254868277801829,0.111759792992104,0.000353415496683973,0.00102117530321644
"slope.mu",0.866643916715913,0.0550333105062291,0.000174030608378958,0.000216551469639021
"slope.tau",17.3454998511575,5.27494328947607,0.0166808353229653,0.0197612369723601
"slope.yr[1]",0.849497961233558,0.109041410512689,0.000344819216497525,0.000964161732558778
"slope.yr[2]",0.899254999434366,0.109769984478258,0.000347123169672624,0.00110098146217665
"slope.yr[3]",0.765863870909956,0.0623722788461571,0.000197238464008995,0.000647238641341892
"slope.yr[4]",1.12436058146242,0.0780781381793993,0.000246904752112254,0.00111373783281341
"slope.yr[5]",0.753104563842295,0.058320898224333,0.000184426873575762,0.000677838096849538
"slope.yr[6]",0.920370401923481,0.0420159737653448,0.00013286617520837,0.000327769595741985
"slope.yr[7]",0.786617098605382,0.0349932622441675,0.000110658411451145,0.000191195225059842
"slope.yr[8]",0.911171431880102,0.0419455537239433,0.000132643487484618,0.000259337631410381
"slope.yr[9]",0.985538907415272,0.0310726561000567,9.82603662273039e-05,0.00012374030882028
"slope.yr[10]",0.91882456439023,0.0293382556215944,9.27757103404774e-05,0.000121940180365612
"slope.yr[11]",0.912647526291953,0.0268451050806972,8.48916760815616e-05,0.00010359391893071
"slope.yr[12]",0.867752176155099,0.0295655425500685,9.34944547168393e-05,0.000124660020400548
"slope.yr[13]",0.861676854970024,0.0304862942671119,9.64061273022074e-05,0.000124004736362615
"slope.yr[14]",0.798185187050554,0.0313376886144894,9.9098472626913e-05,0.000125935773779013
"slope.yr[15]",0.715441018199261,0.0326990411664674,0.000103403447389646,0.000185430470727918
"slope.yr[16]",0.831397198048079,0.0305160655432494,9.65002723436515e-05,0.000216708019268298
"slope.yr[17]",0.859627221540443,0.035767105925024,0.00011310552003558,0.000314966875817184
"slope.yr[18]",0.822150681695701,0.0364682744228032,0.000115322809512121,0.000324807248681216
"slope.yr[19]",0.914269948416073,0.0398416275666948,0.000125990288798908,0.000408941898270326
"slope.yr[20]",0.884654993634612,0.0461150922708812,0.000145828726084811,0.000531959986155696
"slope.yr[21]",1.01642022184267,0.0499744298286001,0.000158033023026634,0.000556765361559096
"slope.yr[22]",0.671289794218935,0.0406695479857717,0.000128608403044552,0.000284914886052532
"tau",0.642048402610584,0.0237348761638951,7.50562686599484e-05,0.000163170058376043
