"","2.5%","25%","50%","75%","97.5%"
"NBbeta.mu[1]",-0.000355409704602399,-0.000173456477199141,-9.87823219468224e-05,-4.55830071937449e-05,-5.17699989552992e-06
"NBbeta.mu[2]",-0.00288352716425666,-0.00129335943391861,-0.000699052214163929,-0.000305864126152414,-3.00081158757403e-05
"NBbeta.mu[3]",-0.426070305835249,-0.292767061166601,-0.223499503552867,-0.15632224273076,-0.0436568979425955
"NBbeta.mu[4]",-0.0103583199331549,-0.00736118346290977,-0.00578328123903903,-0.00423236008101961,-0.00145688686038656
"NBbeta.tau",0.229177952549865,2.23591256334816,3.90242480845807,6.08382270197493,12.0697964967651
"intG[1]",-0.0949118150948223,-0.0450261604973704,-0.0240767017303796,-0.00477336361373162,0.0367870325281854
"intG[2]",-0.0612306852283455,-0.0141355080699948,0.00682314524444565,0.02866109373885,0.0810319510879874
"intG[3]",-0.0693696918441688,-0.0212531683522187,-0.000800599072631693,0.0201758232671176,0.0696184096051524
"intG[4]",-0.0238854944019731,0.0155099506386935,0.0365646577428005,0.0605021424183528,0.119178312577771
"intG[5]",-0.130127778963007,-0.0401906953873275,-0.0104379202463971,0.0161799339691141,0.080335884906694
"intG[6]",-0.0772346385678677,-0.0276379446434971,-0.00692920984676859,0.0138964708201132,0.0606616503054678
"intcpt.mu",0.197134798320594,0.334091476497871,0.401524294980964,0.469560435719844,0.606713974837128
"intcpt.tau",2.59653193794858,4.16490340118268,5.22944542531433,6.49402058945237,9.54615928873157
"intcpt.yr[1]",-0.258632522880132,0.145868778541741,0.348956184074697,0.550427021932286,0.932764866726269
"intcpt.yr[2]",0.336752987614977,0.62426765137607,0.7723006814922,0.920167282988799,1.20213601069323
"intcpt.yr[3]",0.212497374305423,0.41848931504555,0.528647063342663,0.638828965935899,0.847811420995753
"intcpt.yr[4]",0.193745319132857,0.419548045496695,0.536400290323586,0.650557237238767,0.868309685985354
"intcpt.yr[5]",0.661226959816044,0.82301508325663,0.908041574304906,0.992621400302205,1.15469475294986
"intcpt.yr[6]",-0.730620533560011,-0.536472169036493,-0.436648105139218,-0.337037711135132,-0.153041471360538
"intcpt.yr[7]",0.572385451548736,0.680317220716153,0.735285245888461,0.79033063152359,0.895669711983476
"intcpt.yr[8]",-0.0085234379851965,0.102974251178613,0.161447108031411,0.219529863352248,0.32859405743419
"intcpt.yr[9]",-0.259840131725574,-0.137746379028415,-0.0737309094058712,-0.0103756535432964,0.109502520116697
"intcpt.yr[10]",0.220307131724246,0.32210993741546,0.374079317393883,0.425632978651558,0.524598122302261
"intcpt.yr[11]",0.275615988529025,0.371968207388605,0.421785422760688,0.47149987703241,0.566512556508171
"intcpt.yr[12]",-0.0250554037290725,0.0851320909646642,0.142029695401903,0.19864140777075,0.30425617988465
"intcpt.yr[13]",0.278861085751124,0.382007409841417,0.434460841561297,0.487211646342986,0.589115136034528
"intcpt.yr[14]",0.247459697745339,0.321582342351126,0.358966697182647,0.39632370735475,0.469665161076372
"intcpt.yr[15]",0.238708063489115,0.308254935109914,0.343540868238347,0.379312617033266,0.44773348981485
"intcpt.yr[16]",0.548304129356748,0.62398723285495,0.662260860774011,0.700203018631531,0.77502944150145
"intcpt.yr[17]",0.185105721943411,0.292965097773633,0.348571963691621,0.404046546079689,0.509677783220964
"intcpt.yr[18]",0.448979802797646,0.565823805997872,0.625908897541127,0.686004131168577,0.801952582226964
"intcpt.yr[19]",0.340537774996543,0.479301004690613,0.550967047904199,0.622838805253355,0.756709532901914
"intcpt.yr[20]",0.290843001533462,0.414324527811926,0.478297275696575,0.542365128925769,0.663853844287657
"intcpt.yr[21]",-0.669317377690473,-0.485511085643596,-0.3914603425764,-0.298854264330456,-0.120878138744791
"intcpt.yr[22]",0.769079360053832,0.93169311626299,1.01622015299376,1.09998894128188,1.25752457507678
"slope.mu",0.566949325182672,0.643326211950563,0.681268782309386,0.718782895708281,0.793704723066888
"slope.tau",8.0662134244626,12.7268386092421,15.8042979996351,19.3678838926809,27.5953919239018
"slope.yr[1]",0.434318940959225,0.572574315182405,0.644947290651015,0.716914693883108,0.853276518594452
"slope.yr[2]",0.291595570470231,0.451894819978844,0.534382615150984,0.616492603720869,0.771888432379885
"slope.yr[3]",0.354811684479635,0.500037242162758,0.575094571084479,0.649509971020076,0.788103118170052
"slope.yr[4]",0.475827663733706,0.615707270699958,0.688410529402307,0.761907679118919,0.901270403910935
"slope.yr[5]",0.414858847775562,0.49379472999024,0.535120656512582,0.575898001469357,0.653261631325815
"slope.yr[6]",0.668090175476169,0.761714035755468,0.811371938049645,0.861354198529449,0.957350643082324
"slope.yr[7]",0.428327527310815,0.4934546784912,0.52696842048315,0.560044231677188,0.623599434317037
"slope.yr[8]",0.654377670733158,0.721190423476406,0.75640010583303,0.791482002835903,0.858592911198034
"slope.yr[9]",0.808912646926316,0.882758735600484,0.921822791187563,0.960612902696555,1.03515049781565
"slope.yr[10]",0.674851200051095,0.730666935121099,0.759778479237917,0.789308368913568,0.844959906740988
"slope.yr[11]",0.781482583396516,0.834537908153459,0.862322471839836,0.889945739731495,0.94208476106295
"slope.yr[12]",0.713304433980461,0.769711915590282,0.799319924170268,0.829041781754897,0.885035160975428
"slope.yr[13]",0.592690286096663,0.648546925420067,0.67744685628826,0.706659663996963,0.762142222861169
"slope.yr[14]",0.597057340669803,0.63929424187508,0.661237098886957,0.683067993753265,0.725036999685806
"slope.yr[15]",0.656308178109072,0.691300279495653,0.709599034580363,0.72783579823724,0.762616753767878
