"","Mean","SD","Naive SE","Time-series SE"
"NBbeta.mu[1]",-0.000120637678569815,9.5460352412585e-05,3.01872139866118e-07,4.90203040129353e-07
"NBbeta.mu[2]",-0.000902921477640857,0.00077340901036482,2.44573403564961e-06,4.2211782561619e-06
"NBbeta.mu[3]",-0.226338433998305,0.0984233869092186,0.000311242077661131,0.000444861669584328
"NBbeta.mu[4]",-0.0058169016405015,0.00227534798438719,7.19528210013675e-06,1.10918742524641e-05
"NBbeta.tau",4.4798885509754,3.08627865625571,0.00975967004773191,0.0167888724698969
"intG[1]",-0.0255302146487514,0.0331880680885248,0.000104949886300489,0.000338915694881805
"intG[2]",0.0075552720620906,0.0355776749963231,0.000112506486841604,0.000314581286599941
"intG[3]",-0.000515357204645811,0.0346988215319835,0.000109727308164761,0.000335627882269396
"intG[4]",0.0394755188592116,0.036189118928066,0.0001144400423274,0.000342683115474757
"intG[5]",-0.0141802389147944,0.0516051008922645,0.000163189657702343,0.000306850322404422
"intG[6]",-0.007151809663396,0.0344839507830103,0.000109047827195459,0.000319662978122749
"intcpt.mu",0.401733746780336,0.103726397580647,0.000328011669839025,0.000531052251545105
"intcpt.tau",5.44922090495753,1.78331712170987,0.00563934389497891,0.00807009394029196
"intcpt.yr[1]",0.346057894565585,0.303021612238823,0.000958238474931035,0.00217895471870061
"intcpt.yr[2]",0.771948860606709,0.220399027113719,0.000696962919764557,0.00152661670335063
"intcpt.yr[3]",0.528885013078944,0.162435741256463,0.000513666915788203,0.00125282221546919
"intcpt.yr[4]",0.53451995458449,0.171239750348573,0.000541507637060104,0.00130774736994114
"intcpt.yr[5]",0.907953579569254,0.125605019551987,0.000397197947334261,0.000918520731046518
"intcpt.yr[6]",-0.437609711743734,0.147526687597925,0.000466520348469557,0.00136383637370102
"intcpt.yr[7]",0.735109297493047,0.0823215906762674,0.000260323727145086,0.000488638542088606
"intcpt.yr[8]",0.161025959194091,0.0863477764722466,0.000273055644543398,0.000560491578806849
"intcpt.yr[9]",-0.074105126570002,0.0944555425728281,0.000298694652157137,0.000642010777341958
"intcpt.yr[10]",0.373645279134028,0.0774648052932011,0.000244965223227983,0.000483265705734313
"intcpt.yr[11]",0.421635124189709,0.0741604213389843,0.000234515843668944,0.000470457566634493
"intcpt.yr[12]",0.141471379352472,0.0839650101809226,0.000265520675930942,0.000564973416968392
"intcpt.yr[13]",0.434575329570574,0.0787488318621053,0.000249025671761891,0.000524989764501967
"intcpt.yr[14]",0.358882718373047,0.056473362406633,0.000178584452333088,0.000410293746850628
"intcpt.yr[15]",0.343652102647659,0.053338671398299,0.000168671688985903,0.000421105772729205
"intcpt.yr[16]",0.662012507292466,0.0576629699794098,0.000182346321784848,0.000459961580773164
"intcpt.yr[17]",0.348111824226329,0.0827955643936426,0.000261822563643049,0.000580434922092359
"intcpt.yr[18]",0.625771542598603,0.0896796954195311,0.000283592097395888,0.000667064236857828
"intcpt.yr[19]",0.550491087418054,0.106083244680582,0.000335464674771579,0.000906597001745972
"intcpt.yr[20]",0.478050215941074,0.0950849991301233,0.000300685168566319,0.000662925900622304
"intcpt.yr[21]",-0.39256576376127,0.139380383452154,0.000440759472856448,0.00112281508117257
"intcpt.yr[22]",1.01561681895726,0.124644989755147,0.000394162066554617,0.000595631645813297
"slope.mu",0.68098936134775,0.0575126462971976,0.000181870956562794,0.000215612283829284
"slope.tau",16.3274544035032,5.0220691395892,0.015881177047944,0.0177717075592689
"slope.yr[1]",0.644810420160407,0.106992979093967,0.000338341507583715,0.00074987485054165
"slope.yr[2]",0.533754988656703,0.122291916611368,0.000386720995919303,0.000825905879332563
"slope.yr[3]",0.574340953576726,0.110861526144547,0.000350574927499074,0.000835866834103153
"slope.yr[4]",0.688382402520387,0.108257820973298,0.000342341288802367,0.00081302447928442
"slope.yr[5]",0.534793263993359,0.0608765052622658,0.000192508412619986,0.000411969307897797
"slope.yr[6]",0.81164387403238,0.0738972682813845,0.000233683680633692,0.000664673712529519
"slope.yr[7]",0.526666989828217,0.0496667260595301,0.000157059978271755,0.000221109225771448
"slope.yr[8]",0.756399424098882,0.0521183062034872,0.000164812555393103,0.000279741130500582
"slope.yr[9]",0.921797624954555,0.0578431072144616,0.000182915965739016,0.000330480292991178
"slope.yr[10]",0.759839927216503,0.0434440908473556,0.000137382277952918,0.000193804873768899
"slope.yr[11]",0.862151757824817,0.0409676850056697,0.000129551195082244,0.000186974837102864
"slope.yr[12]",0.799329438289636,0.0437641186864122,0.000138394294838999,0.000238841395161637
"slope.yr[13]",0.677534335201106,0.0432101364620073,0.000136642449226633,0.000219006919342863
"slope.yr[14]",0.661126114174968,0.0325750425677711,0.000103011329391096,0.000127717151481611
"slope.yr[15]",0.709553311521843,0.0270985495336146,8.56931378131156e-05,0.00013047704602097
"slope.yr[16]",0.693101329178443,0.0285178939378085,9.01814989145829e-05,0.00016087630987643
"slope.yr[17]",0.733512948695422,0.0524701708406446,0.000165925249074589,0.000323020836055809
"slope.yr[18]",0.669757622711902,0.0511557720663855,0.000161768755194196,0.000332642534843216
"slope.yr[19]",0.524077626963665,0.0560714081924096,0.000177313361501039,0.00044786864988525
"slope.yr[20]",0.673400776968586,0.0547364848232061,0.00017309196315257,0.000318620550769121
"slope.yr[21]",0.65476077068067,0.0814929411306967,0.000257703307199019,0.000637854910662258
"slope.yr[22]",0.564200168901013,0.0602509776468746,0.000190530320616016,0.000255790163793908
"tau",0.926463208816346,0.0293107234293426,9.26886459039841e-05,0.000185714626702265
"tauGroup",718.15598997824,658.881431097621,2.08356603025978,4.20732482830376
"tauSize",-0.118750123385018,0.024349703595661,7.70005237122804e-05,0.00015824773950469
