"","Mean","SD","Naive SE","Time-series SE"
"NBbeta.mu[1]",-0.117267966993108,0.081723613197624,0.000258432756323088,0.000532719684816939
"NBbeta.mu[2]",-0.00210737301644997,0.0018031132126228,5.70194463103151e-06,1.10782439463738e-05
"NBbeta.mu[3]",-0.023828563164137,0.0198421742202963,6.27464642660118e-05,0.000121426646331661
"NBbeta.mu[4]",-0.00580059782646364,0.00364542445541927,1.15278443172038e-05,2.04288105319281e-05
"NBbeta.tau",4.64610190539815,3.17417457993481,0.0100376213636022,0.0164573088191501
"intG[1]",0.0521832329134783,0.10993077506752,0.000347631634161014,0.00281150312671581
"intG[2]",-0.0874012782264212,0.122709200034574,0.000388040561966467,0.00264716001536314
"intG[3]",-0.0772700696153475,0.112568081131646,0.000355971528210627,0.00266236840635052
"intG[4]",0.184333593958606,0.116619327177538,0.000368782693077397,0.00254712289491095
"intG[5]",-0.244072022250683,0.14649782854042,0.000463266810456549,0.00260015760176245
"intG[6]",0.157535278870898,0.111962220097901,0.000354055627398447,0.00253152746805874
"intcpt.mu",0.563756614042262,0.292475830904376,0.000924889786208092,0.00458325612238915
"intcpt.tau",0.823984484944406,0.323445068298729,0.00102282311377271,0.00461588099724267
"intcpt.yr[1]",2.41472885489099,0.655645560471864,0.00207333330886875,0.00661497882071612
"intcpt.yr[2]",1.31525424084333,0.724056401805122,0.00228966738413024,0.0111074958640581
"intcpt.yr[3]",1.28699065763095,0.422029190056413,0.00133457347965435,0.00801366601289796
"intcpt.yr[4]",-2.85276761535022,0.600632807596215,0.00189936770942572,0.0146002565023119
"intcpt.yr[5]",1.39032748229188,0.493499297367027,0.00156058180337254,0.0148405558434112
"intcpt.yr[6]",-0.175627755097857,0.457868600504297,0.0014479076466673,0.0121030457168691
"intcpt.yr[7]",1.6272244556449,0.329274520009433,0.00104125745868849,0.00711489793868842
"intcpt.yr[8]",0.647857001226255,0.352400787483807,0.00111438913768579,0.00720620934053264
"intcpt.yr[9]",-0.0133074784579273,0.388311083903461,0.00122794746582368,0.00919976555779972
"intcpt.yr[10]",0.930989105203758,0.343075314940831,0.00108489940419262,0.00727646589461851
"intcpt.yr[11]",0.224026151416307,0.335554521835528,0.00106111656816897,0.00680594078488807
"intcpt.yr[12]",0.635084420073631,0.305906358238781,0.000967360842761963,0.00589755573911669
"intcpt.yr[13]",-0.00301577690971461,0.365333288015801,0.00115528529520823,0.00805583701972826
"intcpt.yr[14]",0.115956177460359,0.363262285248338,0.00114873620942253,0.00741959433697218
"intcpt.yr[15]",-0.287519604985714,0.404550051340088,0.00127929958977273,0.00719261501904198
"intcpt.yr[16]",-0.0658791918576257,0.395185269942381,0.0012496855507664,0.00705912044159963
"intcpt.yr[17]",0.851078597155814,0.458692802862648,0.00145051400337257,0.00977514238403827
"intcpt.yr[18]",0.102265297034814,0.44212163621013,0.00139811137326439,0.00860728485690504
"intcpt.yr[19]",1.06880444761118,0.411543188348209,0.00130141383070801,0.00764027220444007
"intcpt.yr[20]",0.519358156524781,0.370374421408849,0.00117122675871899,0.00669433149236543
"intcpt.yr[21]",0.781845542336947,0.527621124637172,0.00166848449547304,0.0112886081603813
"intcpt.yr[22]",1.89602165572775,0.489403922622765,0.00154763109130874,0.0102089526533531
"slope.mu",0.875350095935473,0.0684691930632408,0.000216518599633642,0.000524253468201711
"slope.tau",12.1863807715707,3.98302051138072,0.0125954167831317,0.0362152986711844
"slope.yr[1]",0.694445703132137,0.180696907943348,0.00057141379525075,0.00155551882904775
"slope.yr[2]",0.79425493339802,0.158843251394024,0.000502306465351833,0.00241365822776711
"slope.yr[3]",0.776913397142538,0.0888628163895743,0.000281008899088395,0.00163702423985517
"slope.yr[4]",1.50973022919043,0.123568849333989,0.000390759011741585,0.00296065897141388
"slope.yr[5]",0.748935488147213,0.0951205088003661,0.000300797460003247,0.00274861269160351
"slope.yr[6]",0.949281775076297,0.0845348058399163,0.000267322528014239,0.00213978071709629
"slope.yr[7]",0.700630950340236,0.0659596458259632,0.000208582714468062,0.00133975281609638
"slope.yr[8]",0.826435963084982,0.0657264647990659,0.000207845331315929,0.00128898480976879
"slope.yr[9]",1.02016660312108,0.0717545070944656,0.000226907674801222,0.0016408969718817
"slope.yr[10]",0.830935114454077,0.0619305001346666,0.000195841437058911,0.00123841535421525
"slope.yr[11]",0.947616169416195,0.06015714974554,0.000190233610739725,0.00117160801472933
"slope.yr[12]",0.884683841995117,0.0533416534515057,0.00016868111906614,0.000921921947008501
"slope.yr[13]",0.985912831842035,0.0642427548709885,0.0002031534285562,0.00133586729057189
"slope.yr[14]",0.923923995929017,0.0622377082299822,0.00019681291435575,0.00120986036698104
"slope.yr[15]",0.834377633207143,0.0706133053579492,0.000223298878044091,0.00118728909191029
"slope.yr[16]",0.930752534193587,0.0659779595086867,0.000208640627417814,0.00113718825978999
"slope.yr[17]",0.838885875700295,0.0839543578793912,0.00026548699039578,0.00171631149771988
"slope.yr[18]",0.951019587950217,0.0790266376263425,0.000249904170724005,0.00148949609472523
"slope.yr[19]",0.856899281316049,0.0738862426052873,0.000233648814384481,0.0013140651891083
"slope.yr[20]",0.929593155722011,0.0643648339647841,0.000203539476547284,0.00109619557703315
"slope.yr[21]",0.721674684874846,0.0928728081353492,0.000293689606403519,0.00193813900274519
"slope.yr[22]",0.600486163444927,0.0966788595453802,0.000305725397750912,0.00200138802083524
"tau",3.26799054720004,0.409218062373415,0.00129406113678084,0.00701710740951495
"tauGroup",42.1648299565471,53.6552769240469,0.169672883567061,0.487806837977421
