"","Mean","SD","Naive SE","Time-series SE"
"NBbeta.mu[1]",-0.0319855659002414,0.0043404550458403,1.37257240264259e-05,3.19756157498161e-05
"NBbeta.mu[2]",-0.0126699968983654,0.00281587351728142,8.90457391755878e-06,2.33862276131343e-05
"NBbeta.tau",2.54213523491574,2.46593109556592,0.00779795881502264,0.0178820330885445
"intG[1]",-0.0986977751318284,0.0880327324404367,0.000278383943159973,0.00220310515580098
"intG[2]",0.0661730460970561,0.0765363769872296,0.000242029275136941,0.00219337225243151
"intG[3]",-0.131411633294657,0.0743858438003673,0.000235228692082676,0.00239358586539029
"intG[4]",0.27863633585003,0.0787198310720674,0.000248933963211427,0.00235170182184359
"intG[5]",-0.110042577293345,0.0785126754558125,0.000248278879633966,0.00217527670285796
"intG[6]",0.0115307027010469,0.07073807555766,0.000223693436059291,0.00236501691166726
"intG[7]",0.00519284388356804,0.076551459699473,0.000242076970860923,0.0023223709767557
"intcpt.mu",1.14511411024814,0.137066772447998,0.000433443192463687,0.0027632479695888
"intcpt.tau",5.51906906517016,2.06422963533795,0.00652766726128673,0.0150917005598913
"intcpt.yr[1]",0.649354378973609,0.19754833103011,0.000624702674020063,0.00271112415124199
"intcpt.yr[2]",1.41334107130006,0.310354900622787,0.000981428368963218,0.00259786821591152
"intcpt.yr[3]",1.18913714896148,0.38881854187879,0.00122955218884254,0.00384498763731596
"intcpt.yr[4]",1.09230117889212,0.236523100995589,0.0007479517183921,0.0036337808864235
"intcpt.yr[5]",1.22479863493689,0.1980544717048,0.000626303231368539,0.00302828954363711
"intcpt.yr[6]",1.35188217799204,0.139059886095531,0.000439745971225458,0.00290782215431049
"intcpt.yr[7]",0.974673794205622,0.132911271374233,0.000420302344251315,0.0025838321416601
"intcpt.yr[8]",1.32244236734555,0.149231063628153,0.000471910058714474,0.0027733622644247
"intcpt.yr[9]",1.48754612916487,0.11229950038781,0.000355122201324441,0.00248102538968046
"intcpt.yr[10]",1.21556687578331,0.131947159091344,0.00041725355351724,0.00275729117214369
"intcpt.yr[11]",0.793219240000711,0.178026466363353,0.000562969117499549,0.00462888799607993
"intcpt.yr[12]",1.23436782878603,0.155480064423105,0.000491671134326724,0.00369853860019392
"intcpt.yr[13]",0.918604042943207,0.149155675631688,0.00047167166093741,0.00332884520800597
"intcpt.yr[14]",1.61823064562173,0.123784277080929,0.000391440254093113,0.00279875462332886
"intcpt.yr[15]",0.612669345418918,0.153116443003329,0.000484196707113873,0.0036581913366795
"intcpt.yr[16]",0.692052543101824,0.157751354690525,0.000498853584799145,0.00354852027003104
"intcpt.yr[17]",1.10401779642409,0.204239391176988,0.000645861664045378,0.00371347365853635
"intcpt.yr[18]",1.72464399092378,0.211013661515399,0.000667283787800478,0.00328142218205269
"slope.mu",0.550872089936168,0.0796100250537101,0.000251749003752793,0.000365164826888141
"slope.tau",10.8699458496019,3.76148944484594,0.0118948740403955,0.016047255338003
"slope.yr[1]",0.70641288541451,0.0663851233884137,0.000209928192658702,0.000793320597176998
"slope.yr[2]",0.741570557963642,0.215388982379128,0.000681119767223916,0.00139476665261081
"slope.yr[3]",0.533109109781426,0.156888882621723,0.000496126208643455,0.00148462638992359
"slope.yr[4]",0.411120046599121,0.0966807611832729,0.000305731411257938,0.00139504545788331
"slope.yr[5]",0.570664411414366,0.0873004612545471,0.000276068298347649,0.00118242885405805
"slope.yr[6]",0.260589280894895,0.0521731590415984,0.000164986015297658,0.000795151715251842
"slope.yr[7]",0.539312829179025,0.0601605400347982,0.000190244331775708,0.000862861685677529
"slope.yr[8]",0.260579418704547,0.0656990832063515,0.000207758743116989,0.000860149433448036
"slope.yr[9]",0.40877040337802,0.047684084620403,0.000150790315540679,0.000524643483678912
"slope.yr[10]",0.730263689155677,0.0495617751809878,0.000156728094453125,0.000805065776646272
"slope.yr[11]",0.607306894637232,0.055708056093746,0.00017616434127666,0.00129225299081378
"slope.yr[12]",0.591550629464217,0.0538003925745921,0.000170131779546921,0.00111785568120815
"slope.yr[13]",0.6873640189893,0.0459205532453748,0.000145213539670421,0.000902662021287404
"slope.yr[14]",0.567879396588338,0.0374272895723851,0.000118355481695406,0.000608113028849962
"slope.yr[15]",0.786515069528028,0.0427328042683088,0.000135132992294021,0.000852059602943701
"slope.yr[16]",0.730847752682679,0.0458681651349624,0.000145047873919206,0.000897134880048495
"slope.yr[17]",0.193535388164661,0.0645968089539118,0.00020427304587312,0.00103384848239014
"slope.yr[18]",0.585660636717468,0.0755095956445184,0.000238782307435008,0.00108930994613591
"tau",1.33423609937701,0.111895482489399,0.000353844584549988,0.00226880589513117
"tauGroup",47.7689612282816,31.1732152393263,0.0985783621469419,0.267546603308313
"tauSize",-0.418556132216094,0.0357650119318332,0.000113098898247692,0.00073408615508898
